  <<<<<<<<<<<<<<<<<<<<<<<<< TEAM MEMBER<<<<<<< >>>>>>>>>>>>>>>>>>>>>>
   -------------------------------------------------------------------------------------------------
    S.no	 Team	Pld	Won	Lost	Tied	N/R	Net RR 
                                                                                                               
      1.	 MI	14	10	4	0	0	+0.784 	
      2.	 RPS	14	9	5	0	0	+0.176 		
      3.	 SRH	14	8	5	0	1	+0.599 		
      4.	 KKR	14	8	6	0	0	+0.641 	 
      5.	 KXIP	14	7	7	0	0	-0.009  		
      6.	 DD	14	6	8	0	0	-0.512  	
      7.	 GL	14	4	10	0	0	-0.412  
      8.	 RCB	14	3	10	0	1	-1.299  
   ----------------------------------------------------------------------------------------------------

                                                

